Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance,Type
Q88ME7,MUTS_PSEPK,Muts,DNA mismatch repair protein MutS,0812_0815-Control,R2,2364474,0.050764201,-1.294442442,0812_0815_NONTARGET
Q88ME7,MUTS_PSEPK,Muts,DNA mismatch repair protein MutS,0812_0815-Control,R3,1237401.367,0.026828774,-1.571399169,0812_0815_NONTARGET
Q88ME8,Q88ME8_PSEPK,Rpos,RNA polymerase sigma factor RpoS,0812_0815-Control,R1,221751.5333,0.004799893,-2.318768406,0812_0815_NONTARGET
Q88ME8,Q88ME8_PSEPK,Rpos,RNA polymerase sigma factor RpoS,0812_0815-Control,R2,169816.4,0.003645882,-2.438197355,0812_0815_NONTARGET
Q88ME8,Q88ME8_PSEPK,Rpos,RNA polymerase sigma factor RpoS,0812_0815-Control,R3,171654.4333,0.003721733,-2.429254736,0812_0815_NONTARGET
Q88ME9,Q88ME9_PSEPK,Pp_1622,"Metallopeptidase, M23B subfamily",0812_0815-Control,R1,297503,0.006439562,-2.191143688,0812_0815_NONTARGET
Q88ME9,Q88ME9_PSEPK,Pp_1622,"Metallopeptidase, M23B subfamily",0812_0815-Control,R2,211405.4667,0.004538781,-2.343060772,0812_0815_NONTARGET
Q88ME9,Q88ME9_PSEPK,Pp_1622,"Metallopeptidase, M23B subfamily",0812_0815-Control,R3,194250.3333,0.004211647,-2.375547988,0812_0815_NONTARGET
Q88MF2,TRUD_PSEPK,Trud,tRNA pseudouridine synthase D,0812_0815-Control,R1,150346.8,0.003254312,-2.487540849,0812_0815_NONTARGET
Q88MF2,TRUD_PSEPK,Trud,tRNA pseudouridine synthase D,0812_0815-Control,R2,265566.4667,0.005701593,-2.24400375,0812_0815_NONTARGET
Q88MF2,TRUD_PSEPK,Trud,tRNA pseudouridine synthase D,0812_0815-Control,R3,11843.1,0.000256777,-3.590444364,0812_0815_NONTARGET
Q88MF3,ISPF_PSEPK,Ispf,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",0812_0815-Control,R1,41128.1,0.000890233,-3.050496391,0812_0815_NONTARGET
Q88MF3,ISPF_PSEPK,Ispf,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",0812_0815-Control,R2,191691.8,0.004115537,-2.38557345,0812_0815_NONTARGET
Q88MF3,ISPF_PSEPK,Ispf,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",0812_0815-Control,R3,64647.06667,0.001401648,-2.853360937,0812_0815_NONTARGET
Q88MF5,Q88MF5_PSEPK,Frma,alcohol dehydrogenase,0812_0815-Control,R1,389571.4667,0.008432418,-2.074047897,0812_0815_NONTARGET
Q88MF5,Q88MF5_PSEPK,Frma,alcohol dehydrogenase,0812_0815-Control,R2,417323.6,0.008959751,-2.04770404,0812_0815_NONTARGET
Q88MF5,Q88MF5_PSEPK,Frma,alcohol dehydrogenase,0812_0815-Control,R3,397895.4,0.008626987,-2.064140842,0812_0815_NONTARGET
Q88MF9,ENO_PSEPK,Eno,Enolase,0812_0815-Control,R1,7270000,0.157361821,-0.803100627,0812_0815_NONTARGET
Q88MF9,ENO_PSEPK,Eno,Enolase,0812_0815-Control,R2,6481995.133,0.139165542,-0.856468284,0812_0815_NONTARGET
Q88MF9,ENO_PSEPK,Eno,Enolase,0812_0815-Control,R3,7833333.333,0.169838774,-0.769963153,0812_0815_NONTARGET
Q88MG0,KDSA1_PSEPK,Kdsa1,2-dehydro-3-deoxyphosphooctonate aldolase 1,0812_0815-Control,R1,1368966.333,0.029631779,-1.52824227,0812_0815_NONTARGET
Q88MG0,KDSA1_PSEPK,Kdsa1,2-dehydro-3-deoxyphosphooctonate aldolase 1,0812_0815-Control,R2,467981.1333,0.010047346,-1.99794864,0812_0815_NONTARGET
Q88MG0,KDSA1_PSEPK,Kdsa1,2-dehydro-3-deoxyphosphooctonate aldolase 1,0812_0815-Control,R3,143839.7333,0.003118668,-2.506030892,0812_0815_NONTARGET
Q88MG1,PYRG_PSEPK,Pyrg,CTP synthase,0812_0815-Control,R1,6458196.667,0.13979004,-0.854523771,0812_0815_NONTARGET
Q88MG1,PYRG_PSEPK,Pyrg,CTP synthase,0812_0815-Control,R2,6526666.667,0.14012462,-0.853485552,0812_0815_NONTARGET
Q88MG1,PYRG_PSEPK,Pyrg,CTP synthase,0812_0815-Control,R3,6986666.667,0.151481732,-0.819639737,0812_0815_NONTARGET
Q88MG4,ACCA_PSEPK,Acca,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,0812_0815-Control,R1,2510570.333,0.054342217,-1.264862645,0812_0815_NONTARGET
Q88MG4,ACCA_PSEPK,Acca,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,0812_0815-Control,R2,2421712.667,0.05199309,-1.284054372,0812_0815_NONTARGET
Q88MG4,ACCA_PSEPK,Acca,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,0812_0815-Control,R3,2452424.333,0.05317235,-1.274314144,0812_0815_NONTARGET
Q88MG5,Q88MG5_PSEPK,Dnaea,DNA polymerase III subunit alpha,0812_0815-Control,R1,742288.0333,0.016067097,-1.794062578,0812_0815_NONTARGET
Q88MG5,Q88MG5_PSEPK,Dnaea,DNA polymerase III subunit alpha,0812_0815-Control,R2,1613791.867,0.034647391,-1.460329463,0812_0815_NONTARGET
Q88MG5,Q88MG5_PSEPK,Dnaea,DNA polymerase III subunit alpha,0812_0815-Control,R3,695345.0667,0.015076156,-1.821709383,0812_0815_NONTARGET
Q88MG7,LPXB_PSEPK,Lpxb,Lipid-A-disaccharide synthase,0812_0815-Control,R1,499629.7333,0.010814669,-1.965986762,0812_0815_NONTARGET
Q88MG7,LPXB_PSEPK,Lpxb,Lipid-A-disaccharide synthase,0812_0815-Control,R2,153048.2667,0.003285878,-2.48334857,0812_0815_NONTARGET
Q88MG7,LPXB_PSEPK,Lpxb,Lipid-A-disaccharide synthase,0812_0815-Control,R3,11843.1,0.000256777,-3.590444364,0812_0815_NONTARGET
Q88MG8,LPXA_PSEPK,Lpxa,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,0812_0815-Control,R1,1971689,0.042677933,-1.369796624,0812_0815_NONTARGET
Q88MG8,LPXA_PSEPK,Lpxa,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,0812_0815-Control,R2,1224768.133,0.026295225,-1.580123107,0812_0815_NONTARGET
Q88MG8,LPXA_PSEPK,Lpxa,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,0812_0815-Control,R3,1612520,0.034961926,-1.456404651,0812_0815_NONTARGET
Q88MG9,FABZ_PSEPK,Fabz,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,0812_0815-Control,R1,2140000,0.046321086,-1.334221264,0812_0815_NONTARGET
Q88MG9,FABZ_PSEPK,Fabz,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,0812_0815-Control,R2,2390000,0.051312233,-1.289779084,0812_0815_NONTARGET
Q88MG9,FABZ_PSEPK,Fabz,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,0812_0815-Control,R3,2436666.667,0.0528307,-1.277113639,0812_0815_NONTARGET
Q88MH0,LPXD_PSEPK,Lpxd,UDP-3-O-acylglucosamine N-acyltransferase,0812_0815-Control,R1,308206.4667,0.006671242,-2.175793291,0812_0815_NONTARGET
Q88MH0,LPXD_PSEPK,Lpxd,UDP-3-O-acylglucosamine N-acyltransferase,0812_0815-Control,R2,168056.7333,0.003608103,-2.442721068,0812_0815_NONTARGET
Q88MH0,LPXD_PSEPK,Lpxd,UDP-3-O-acylglucosamine N-acyltransferase,0812_0815-Control,R3,126399.7667,0.002740542,-2.562163489,0812_0815_NONTARGET
Q88MH1,Q88MH1_PSEPK,Pp_1600,Skp-like protein,0812_0815-Control,R1,2548969.333,0.055173378,-1.258270427,0812_0815_NONTARGET
Q88MH1,Q88MH1_PSEPK,Pp_1600,Skp-like protein,0812_0815-Control,R2,3206666.667,0.068845702,-1.162123168,0812_0815_NONTARGET
Q88MH1,Q88MH1_PSEPK,Pp_1600,Skp-like protein,0812_0815-Control,R3,2883333.333,0.062515123,-1.204014908,0812_0815_NONTARGET
Q88MH2,Q88MH2_PSEPK,Bama,Outer membrane protein assembly factor BamA,0812_0815-Control,R1,3018119.067,0.065328296,-1.184898669,0812_0815_NONTARGET
Q88MH2,Q88MH2_PSEPK,Bama,Outer membrane protein assembly factor BamA,0812_0815-Control,R2,3045663.8,0.065389042,-1.184495024,0812_0815_NONTARGET
Q88MH2,Q88MH2_PSEPK,Bama,Outer membrane protein assembly factor BamA,0812_0815-Control,R3,2727895.4,0.059144989,-1.228082047,0812_0815_NONTARGET
Q88MH3,Q88MH3_PSEPK,Rsep,Zinc metalloprotease,0812_0815-Control,R1,56894.13333,0.001231494,-2.909567551,0812_0815_NONTARGET
Q88MH3,Q88MH3_PSEPK,Rsep,Zinc metalloprotease,0812_0815-Control,R2,114379.2667,0.002455672,-2.609829677,0812_0815_NONTARGET
Q88MH3,Q88MH3_PSEPK,Rsep,Zinc metalloprotease,0812_0815-Control,R3,179457.3667,0.003890913,-2.40994847,0812_0815_NONTARGET
Q88MH4,DXR_PSEPK,Dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,0812_0815-Control,R1,763438,0.016524896,-1.781861264,0812_0815_NONTARGET
Q88MH4,DXR_PSEPK,Dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,0812_0815-Control,R2,610105.1333,0.013098685,-1.882772306,0812_0815_NONTARGET
Q88MH4,DXR_PSEPK,Dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,0812_0815-Control,R3,758747.6667,0.016450822,-1.783812392,0812_0815_NONTARGET
Q88MH6,UPPS_PSEPK,Upps,"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)",0812_0815-Control,R1,223735.4667,0.004842836,-2.314900203,0812_0815_NONTARGET
Q88MH6,UPPS_PSEPK,Upps,"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)",0812_0815-Control,R2,15985.4,0.000343199,-3.464453477,0812_0815_NONTARGET
Q88MH6,UPPS_PSEPK,Upps,"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)",0812_0815-Control,R3,160818.4,0.003486791,-2.457574024,0812_0815_NONTARGET
Q88MH7,RRF_PSEPK,Frr,Ribosome-recycling factor,0812_0815-Control,R1,4716666.667,0.102093983,-0.990999852,0812_0815_NONTARGET
Q88MH7,RRF_PSEPK,Frr,Ribosome-recycling factor,0812_0815-Control,R2,4090000,0.087810474,-1.056453677,0812_0815_NONTARGET
Q88MH7,RRF_PSEPK,Frr,Ribosome-recycling factor,0812_0815-Control,R3,4246666.667,0.092074297,-1.035861588,0812_0815_NONTARGET
Q88MH8,PYRH_PSEPK,Pyrh,Uridylate kinase,0812_0815-Control,R1,1490383.4,0.032259896,-1.491337033,0812_0815_NONTARGET
Q88MH8,PYRH_PSEPK,Pyrh,Uridylate kinase,0812_0815-Control,R2,1635543.467,0.035114388,-1.454514895,0812_0815_NONTARGET
Q88MH8,PYRH_PSEPK,Pyrh,Uridylate kinase,0812_0815-Control,R3,749222.7667,0.016244308,-1.789298795,0812_0815_NONTARGET
Q88MH9,EFTS_PSEPK,Tsf,Elongation factor Ts,0812_0815-Control,R1,25845774.67,0.559441289,-0.252245484,0812_0815_NONTARGET
Q88MH9,EFTS_PSEPK,Tsf,Elongation factor Ts,0812_0815-Control,R2,25868299.33,0.55538084,-0.255409107,0812_0815_NONTARGET
Q88MH9,EFTS_PSEPK,Tsf,Elongation factor Ts,0812_0815-Control,R3,26746666.67,0.579909074,-0.236640096,0812_0815_NONTARGET
Q88MI0,RS2_PSEPK,Rpsb,Small ribosomal subunit protein uS2,0812_0815-Control,R1,16673333.33,0.360900426,-0.442612605,0812_0815_NONTARGET
Q88MI0,RS2_PSEPK,Rpsb,Small ribosomal subunit protein uS2,0812_0815-Control,R2,15686666,0.336785717,-0.472646335,0812_0815_NONTARGET
Q88MI0,RS2_PSEPK,Rpsb,Small ribosomal subunit protein uS2,0812_0815-Control,R3,16740000,0.362949074,-0.440154307,0812_0815_NONTARGET
Q88MI1,Q88MI1_PSEPK,Map,Methionine aminopeptidase,0812_0815-Control,R1,1428696.4,0.030924659,-1.509695087,0812_0815_NONTARGET
Q88MI1,Q88MI1_PSEPK,Map,Methionine aminopeptidase,0812_0815-Control,R2,1215614.6,0.026098703,-1.583381078,0812_0815_NONTARGET
Q88MI1,Q88MI1_PSEPK,Map,Methionine aminopeptidase,0812_0815-Control,R3,544870.0667,0.011813625,-1.927616811,0812_0815_NONTARGET
Q88MI2,GLND_PSEPK,Glnd,Bifunctional uridylyltransferase/uridylyl-removing enzyme,0812_0815-Control,R1,708084.6667,0.015326753,-1.814549848,0812_0815_NONTARGET
Q88MI2,GLND_PSEPK,Glnd,Bifunctional uridylyltransferase/uridylyl-removing enzyme,0812_0815-Control,R2,710760.3333,0.015259707,-1.816453803,0812_0815_NONTARGET
Q88MI2,GLND_PSEPK,Glnd,Bifunctional uridylyltransferase/uridylyl-removing enzyme,0812_0815-Control,R3,753501.0333,0.016337067,-1.786825909,0812_0815_NONTARGET
Q88MI3,Q88MI3_PSEPK,Dapc,"N-succinyl-L,L-diaminopimelate aminotransferase alternative",0812_0815-Control,R1,3082255.433,0.066716551,-1.175766411,0812_0815_NONTARGET
Q88MI3,Q88MI3_PSEPK,Dapc,"N-succinyl-L,L-diaminopimelate aminotransferase alternative",0812_0815-Control,R2,3070378.467,0.065919655,-1.180985074,0812_0815_NONTARGET
Q88MI3,Q88MI3_PSEPK,Dapc,"N-succinyl-L,L-diaminopimelate aminotransferase alternative",0812_0815-Control,R3,3111228.733,0.067456248,-1.17097782,0812_0815_NONTARGET
Q88MM2,Q88MM2_PSEPK,Pp_1549,"Transcriptional regulator, Cro/CI family",0812_0815-Control,R1,336370.4,0.007280861,-2.137817266,0812_0815_NONTARGET
Q88MM2,Q88MM2_PSEPK,Pp_1549,"Transcriptional regulator, Cro/CI family",0812_0815-Control,R2,208864.6,0.00448423,-2.348312146,0812_0815_NONTARGET
Q88MM2,Q88MM2_PSEPK,Pp_1549,"Transcriptional regulator, Cro/CI family",0812_0815-Control,R3,252521.7,0.005475061,-2.261611056,0812_0815_NONTARGET
Q88MP1,DAPD_PSEPK,Dapd,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",0812_0815-Control,R1,4570000,0.098919329,-1.004718837,0812_0815_NONTARGET
Q88MP1,DAPD_PSEPK,Dapd,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",0812_0815-Control,R2,4586666.667,0.098473686,-1.006679806,0812_0815_NONTARGET
Q88MP1,DAPD_PSEPK,Dapd,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",0812_0815-Control,R3,4840000,0.104938681,-0.979064399,0812_0815_NONTARGET
Q88MP4,Q88MP4_PSEPK,Pp_1526,Beta-(1-3)-glucosyl transferase,0812_0815-Control,R1,91385.8,0.001978079,-2.703756319,0812_0815_NONTARGET
Q88MP4,Q88MP4_PSEPK,Pp_1526,Beta-(1-3)-glucosyl transferase,0812_0815-Control,R2,169165.8,0.003631914,-2.439864418,0812_0815_NONTARGET
Q88MP4,Q88MP4_PSEPK,Pp_1526,Beta-(1-3)-glucosyl transferase,0812_0815-Control,R3,54456.06667,0.001180692,-2.927863492,0812_0815_NONTARGET
Q88MP5,DAPE_PSEPK,Dape,Succinyl-diaminopimelate desuccinylase,0812_0815-Control,R1,310266.4,0.00671583,-2.172900291,0812_0815_NONTARGET
Q88MP5,DAPE_PSEPK,Dape,Succinyl-diaminopimelate desuccinylase,0812_0815-Control,R2,168706.6,0.003622055,-2.441044912,0812_0815_NONTARGET
Q88MP5,DAPE_PSEPK,Dape,Succinyl-diaminopimelate desuccinylase,0812_0815-Control,R3,144904.4,0.003141751,-2.502828188,0812_0815_NONTARGET
Q88MQ2,Q88MQ2_PSEPK,Pp_1518,DUF4197 domain-containing protein,0812_0815-Control,R1,1196226.733,0.025892767,-1.586821534,0812_0815_NONTARGET
Q88MQ2,Q88MQ2_PSEPK,Pp_1518,DUF4197 domain-containing protein,0812_0815-Control,R2,930102.8,0.019968892,-1.699646033,0812_0815_NONTARGET
Q88MQ2,Q88MQ2_PSEPK,Pp_1518,DUF4197 domain-containing protein,0812_0815-Control,R3,981228.7333,0.021274556,-1.672139504,0812_0815_NONTARGET
Q88MQ7,RSMJ_PSEPK,Rsmj,Ribosomal RNA small subunit methyltransferase J,0812_0815-Control,R1,114762.8667,0.002484084,-2.60483365,0812_0815_NONTARGET
Q88MQ7,RSMJ_PSEPK,Rsmj,Ribosomal RNA small subunit methyltransferase J,0812_0815-Control,R2,78326.4,0.001681633,-2.774268819,0812_0815_NONTARGET
Q88MQ7,RSMJ_PSEPK,Rsmj,Ribosomal RNA small subunit methyltransferase J,0812_0815-Control,R3,93871.76667,0.002035285,-2.691374769,0812_0815_NONTARGET
Q88MR0,Q88MR0_PSEPK,Pp_1510,Carboxyvinyl-carboxyphosphonate phosphorylmutase,0812_0815-Control,R1,259520.4667,0.005617416,-2.250463424,0812_0815_NONTARGET
Q88MR0,Q88MR0_PSEPK,Pp_1510,Carboxyvinyl-carboxyphosphonate phosphorylmutase,0812_0815-Control,R2,1326599.133,0.028481491,-1.545437276,0812_0815_NONTARGET
Q88MR0,Q88MR0_PSEPK,Pp_1510,Carboxyvinyl-carboxyphosphonate phosphorylmutase,0812_0815-Control,R3,11843.1,0.000256777,-3.590444364,0812_0815_NONTARGET
Q88MR3,Q88MR3_PSEPK,Tsab,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,0812_0815-Control,R1,159835.7333,0.003459703,-2.46096116,0812_0815_NONTARGET
Q88MR3,Q88MR3_PSEPK,Tsab,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,0812_0815-Control,R2,189031.8,0.004058428,-2.391642115,0812_0815_NONTARGET
Q88MR3,Q88MR3_PSEPK,Tsab,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,0812_0815-Control,R3,225102.3667,0.004880567,-2.3115297,0812_0815_NONTARGET
Q88MR4,CAPP_PSEPK,Ppc,Phosphoenolpyruvate carboxylase,0812_0815-Control,R1,682889.2,0.014781388,-1.830284793,0812_0815_NONTARGET
Q88MR4,CAPP_PSEPK,Ppc,Phosphoenolpyruvate carboxylase,0812_0815-Control,R2,482652.0667,0.010362324,-1.984542815,0812_0815_NONTARGET
Q88MR4,CAPP_PSEPK,Ppc,Phosphoenolpyruvate carboxylase,0812_0815-Control,R3,275946.7667,0.005982952,-2.223084451,0812_0815_NONTARGET
Q88MR7,Q88MR7_PSEPK,Pp_1502,OmpA family protein,0812_0815-Control,R1,543256.4667,0.011758986,-1.929630133,0812_0815_NONTARGET
Q88MR7,Q88MR7_PSEPK,Pp_1502,OmpA family protein,0812_0815-Control,R2,1111693.133,0.023867555,-1.622192062,0812_0815_NONTARGET
Q88MR7,Q88MR7_PSEPK,Pp_1502,OmpA family protein,0812_0815-Control,R3,1044598.067,0.022648501,-1.644960543,0812_0815_NONTARGET
Q88MS0,Q88MS0_PSEPK,Pp_1499,Flavohemoglobin expression-modulating QEGLA motif protein,0812_0815-Control,R1,158616.8,0.003433319,-2.464285854,0812_0815_NONTARGET
Q88MS0,Q88MS0_PSEPK,Pp_1499,Flavohemoglobin expression-modulating QEGLA motif protein,0812_0815-Control,R2,497636.1333,0.010684026,-1.971265078,0812_0815_NONTARGET
Q88MS0,Q88MS0_PSEPK,Pp_1499,Flavohemoglobin expression-modulating QEGLA motif protein,0812_0815-Control,R3,438636.3667,0.009510314,-2.021805125,0812_0815_NONTARGET
Q88MS1,Q88MS1_PSEPK,Pp_1498,Lipoprotein,0812_0815-Control,R1,416887,0.009023672,-2.044616685,0812_0815_NONTARGET
Q88MS1,Q88MS1_PSEPK,Pp_1498,Lipoprotein,0812_0815-Control,R2,353990.2667,0.007600013,-2.119185664,0812_0815_NONTARGET
Q88MS1,Q88MS1_PSEPK,Pp_1498,Lipoprotein,0812_0815-Control,R3,364562.0667,0.007904269,-2.102138283,0812_0815_NONTARGET
Q88MS2,Q88MS2_PSEPK,Pp_1497,"Transcriptional regulator, TetR family",0812_0815-Control,R1,368828.6,0.007983431,-2.097810447,0812_0815_NONTARGET
Q88MS2,Q88MS2_PSEPK,Pp_1497,"Transcriptional regulator, TetR family",0812_0815-Control,R2,21313.86667,0.000457599,-3.33951474,0812_0815_NONTARGET
Q88MS2,Q88MS2_PSEPK,Pp_1497,"Transcriptional regulator, TetR family",0812_0815-Control,R3,15790.8,0.000342369,-3.465505628,0812_0815_NONTARGET
Q88MS3,SYK_PSEPK,Lyss,Lysine--tRNA ligase,0812_0815-Control,R1,6867698.733,0.148653863,-0.827823802,0812_0815_NONTARGET
Q88MS3,SYK_PSEPK,Lyss,Lysine--tRNA ligase,0812_0815-Control,R2,6009161.667,0.129014019,-0.889363097,0812_0815_NONTARGET
Q88MS3,SYK_PSEPK,Lyss,Lysine--tRNA ligase,0812_0815-Control,R3,6620000,0.143531832,-0.843051771,0812_0815_NONTARGET
Q88MS4,Q88MS4_PSEPK,Pp_1494,diguanylate cyclase,0812_0815-Control,R1,143600.4667,0.003108285,-2.507479186,0812_0815_NONTARGET
Q88MS4,Q88MS4_PSEPK,Pp_1494,diguanylate cyclase,0812_0815-Control,R2,886904.1333,0.019041436,-1.720300306,0812_0815_NONTARGET
Q88MS4,Q88MS4_PSEPK,Pp_1494,diguanylate cyclase,0812_0815-Control,R3,603430.3667,0.013083303,-1.883282599,0812_0815_NONTARGET
Q88MT0,Q88MT0_PSEPK,Pp_1488,Methyl-accepting chemotaxis transducer,0812_0815-Control,R1,451994.8,0.009783594,-2.009501599,0812_0815_NONTARGET
Q88MT0,Q88MT0_PSEPK,Pp_1488,Methyl-accepting chemotaxis transducer,0812_0815-Control,R2,1058286.133,0.022720931,-1.643573879,0812_0815_NONTARGET
Q88MT0,Q88MT0_PSEPK,Pp_1488,Methyl-accepting chemotaxis transducer,0812_0815-Control,R3,1017755.367,0.022066509,-1.65626636,0812_0815_NONTARGET
Q88MT2,Q88MT2_PSEPK,Ydcs,"Polyamine ABC transporter, periplasmic polyamine-binding protein",0812_0815-Control,R1,698555.7333,0.015120496,-1.820433976,0812_0815_NONTARGET
Q88MT2,Q88MT2_PSEPK,Ydcs,"Polyamine ABC transporter, periplasmic polyamine-binding protein",0812_0815-Control,R2,808462.8,0.017357335,-1.760516944,0812_0815_NONTARGET
Q88MT2,Q88MT2_PSEPK,Ydcs,"Polyamine ABC transporter, periplasmic polyamine-binding protein",0812_0815-Control,R3,903341.0333,0.01958583,-1.708058023,0812_0815_NONTARGET
Q88MT7,Q88MT7_PSEPK,Patd,Medium chain aldehyde dehydrogenase,0812_0815-Control,R1,828071,0.017923901,-1.746567462,0812_0815_NONTARGET
Q88MT7,Q88MT7_PSEPK,Patd,Medium chain aldehyde dehydrogenase,0812_0815-Control,R2,1010911.467,0.021703818,-1.663463862,0812_0815_NONTARGET
Q88MT7,Q88MT7_PSEPK,Patd,Medium chain aldehyde dehydrogenase,0812_0815-Control,R3,633992.7,0.013745942,-1.861825504,0812_0815_NONTARGET
Q88MU0,Q88MU0_PSEPK,Pp_1478,Xenobiotic reductase,0812_0815-Control,R1,2367590.667,0.05124737,-1.290328418,0812_0815_NONTARGET
Q88MU0,Q88MU0_PSEPK,Pp_1478,Xenobiotic reductase,0812_0815-Control,R2,2098296.333,0.045049486,-1.346310163,0812_0815_NONTARGET
Q88MU0,Q88MU0_PSEPK,Pp_1478,Xenobiotic reductase,0812_0815-Control,R3,2075459.667,0.044999173,-1.346795463,0812_0815_NONTARGET
Q88MU2,Q88MU2_PSEPK,Pp_1476,YaeQ family protein,0812_0815-Control,R1,632723.4,0.01369553,-1.863421141,0812_0815_NONTARGET
Q88MU2,Q88MU2_PSEPK,Pp_1476,YaeQ family protein,0812_0815-Control,R2,923076.8,0.019818047,-1.702939149,0812_0815_NONTARGET
Q88MU2,Q88MU2_PSEPK,Pp_1476,YaeQ family protein,0812_0815-Control,R3,990614.3667,0.021478051,-1.668005139,0812_0815_NONTARGET
Q88MU3,Q88MU3_PSEPK,Pp_1475,CAIB/BAIF family protein,0812_0815-Control,R1,66147.13333,0.001431779,-2.84412401,0812_0815_NONTARGET
Q88MU3,Q88MU3_PSEPK,Pp_1475,CAIB/BAIF family protein,0812_0815-Control,R2,79800.6,0.001713283,-2.766170828,0812_0815_NONTARGET
Q88MU3,Q88MU3_PSEPK,Pp_1475,CAIB/BAIF family protein,0812_0815-Control,R3,53066.06667,0.001150554,-2.939092863,0812_0815_NONTARGET
Q88MU7,Q88MU7_PSEPK,Thrc,Threonine synthase,0812_0815-Control,R1,5636666.667,0.122007721,-0.913612685,0812_0815_NONTARGET
Q88MU7,Q88MU7_PSEPK,Thrc,Threonine synthase,0812_0815-Control,R2,4936666.667,0.10598803,-0.974743181,0812_0815_NONTARGET
Q88MU7,Q88MU7_PSEPK,Thrc,Threonine synthase,0812_0815-Control,R3,4760000,0.103204157,-0.986302808,0812_0815_NONTARGET
Q88MU8,Q88MU8_PSEPK,Hom,Homoserine dehydrogenase,0812_0815-Control,R1,3553762,0.076922484,-1.113946698,0812_0815_NONTARGET
Q88MU8,Q88MU8_PSEPK,Hom,Homoserine dehydrogenase,0812_0815-Control,R2,2726240.467,0.058531166,-1.232612825,0812_0815_NONTARGET
Q88MU8,Q88MU8_PSEPK,Hom,Homoserine dehydrogenase,0812_0815-Control,R3,3556694,0.077114623,-1.112863259,0812_0815_NONTARGET
Q88MV3,RL19_PSEPK,Rpls,Large ribosomal subunit protein bL19,0812_0815-Control,R1,21203333.33,0.458953941,-0.338230897,0812_0815_NONTARGET
Q88MV3,RL19_PSEPK,Rpls,Large ribosomal subunit protein bL19,0812_0815-Control,R2,21396666.67,0.459376882,-0.337830864,0812_0815_NONTARGET
Q88MV3,RL19_PSEPK,Rpls,Large ribosomal subunit protein bL19,0812_0815-Control,R3,21096666.67,0.457408341,-0.33969592,0812_0815_NONTARGET
Q88MV5,RIMM_PSEPK,Rimm,Ribosome maturation factor RimM,0812_0815-Control,R1,620435.4667,0.013429554,-1.871938422,0812_0815_NONTARGET
Q88MV5,RIMM_PSEPK,Rimm,Ribosome maturation factor RimM,0812_0815-Control,R2,630762.6,0.013542191,-1.86831105,0812_0815_NONTARGET
Q88MV5,RIMM_PSEPK,Rimm,Ribosome maturation factor RimM,0812_0815-Control,R3,587163.0667,0.012730603,-1.895151031,0812_0815_NONTARGET
Q88MV6,RS16_PSEPK,Rpsp,Small ribosomal subunit protein bS16,0812_0815-Control,R1,9294594,0.201184902,-0.696404614,0812_0815_NONTARGET
Q88MV6,RS16_PSEPK,Rpsp,Small ribosomal subunit protein bS16,0812_0815-Control,R2,10215420.67,0.219320522,-0.65892073,0812_0815_NONTARGET
Q88MV6,RS16_PSEPK,Rpsp,Small ribosomal subunit protein bS16,0812_0815-Control,R3,10338927,0.224163918,-0.649434292,0812_0815_NONTARGET
Q88MV7,Q88MV7_PSEPK,Ffh,Signal recognition particle protein,0812_0815-Control,R1,1445605,0.031290651,-1.504585396,0812_0815_NONTARGET
Q88MV7,Q88MV7_PSEPK,Ffh,Signal recognition particle protein,0812_0815-Control,R2,1163461.467,0.024978998,-1.602424981,0812_0815_NONTARGET
