Organism,Protein,COG,Cat,Annotation
960,1186,COG1006,P,"Multisubunit Na+/H+ antiporter, MnhC subunit"
1421,1677,COG1007,C,NADH:ubiquinone oxidoreductase subunit 2 (chain N)
1408,2000,COG1008,C,NADH:ubiquinone oxidoreductase subunit 4 (chain M)
1704,3133,COG1009,C,"NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Na+/H+ antiporter, MnhA subunit/Na+:bicarbonate transporter, MpsA subunit"
851,902,COG1010,H,Precorrin-3B methylase
1903,5365,COG1011,H,"FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis)"
2054,15634,COG1012,I,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
620,801,COG1017,C,Hemoglobin-like flavoprotein
1381,3762,COG1018,C,Flavodoxin/ferredoxin--NADP reductase
742,3694,COG1020,Q,"EntF, seryl-AMP synthase component of non-ribosomal peptide synthetase"
1247,2306,COG1022,I,Long-chain acyl-CoA synthetase (AMP-forming)
593,645,COG1023,G,6-phosphogluconate dehydrogenase (decarboxylating)
1613,12715,COG1024,I,Enoyl-CoA hydratase/carnithine racemase
191,229,COG1025,O,"Secreted/periplasmic Zn-dependent peptidases, insulinase-like"
679,776,COG1027,E,Aspartate ammonia-lyase
2182,35218,COG1028,I,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family"
680,865,COG1030,O,"Membrane-bound serine protease NfeD, ClpP class"
1388,4492,COG1032,R,"Radical SAM superfamily enzyme YgiQ, UPF0313 family"
891,1732,COG1033,R,"Predicted exporter protein, RND superfamily"
1214,1455,COG1034,C,NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)
1983,2123,COG1040,R,"DNA utilization protein ComFC/GntX, contains phosphoribosyltransferase domain"
1045,1824,COG1042,C,Acyl-CoA synthetase (NDP forming)
1325,1516,COG1043,M,Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase
1463,1984,COG1044,M,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
1834,2847,COG1045,E,Serine acetyltransferase
1131,1863,COG1047,O,"Peptidyl-prolyl cis-trans isomerase, FKBP type"
1688,2047,COG1048,C,Aconitase A
580,596,COG1049,C,Aconitase B
2131,9222,COG1051,F,"ADP-ribose pyrophosphatase YjhB, NUDIX family"
1573,3063,COG1052,C H R,Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase
1921,3993,COG1053,C,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"
944,980,COG1054,J,"tRNA U34 5'-hydroxylase TrhO, rhodanese family"
1362,2061,COG1055,P,Na+/H+ antiporter NhaD or related arsenite permease
1958,2056,COG1057,H,Nicotinate-nucleotide adenylyltransferase NadD
966,1640,COG1062,C,Zn-dependent alcohol/formaldehyde dehydrogenase
1667,5740,COG1063,E R,Threonine dehydrogenase or related Zn-dependent dehydrogenase
1236,2613,COG1064,G,"D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family"
1877,1943,COG1066,L,"DNA repair protein RadA/Sms, contains AAA+ ATPase domain"
714,903,COG1067,O,Predicted ATP-dependent protease
1446,3124,COG1071,C,TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha
696,958,COG1073,T,"Fermentation-respiration switch esterase FrsA, DUF1100 family"
1835,2127,COG1074,L,3'-5' helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V)
748,1302,COG1075,I,"Triacylglycerol esterase/lipase EstA, alpha/beta hydrolase fold"
735,925,COG1076,O,DnaJ domain-containing protein
1669,2229,COG1077,D Z,"Cell shape-determining ATPase MreB, actin-like superfamily"
1229,1621,COG1080,G,Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)
1417,7110,COG1082,G,Sugar phosphate isomerase/epimerase
576,722,COG1083,M,"CMP-N-acetylneuraminic acid synthetase, NeuA/PseF family"
1584,2869,COG1086,M O,"NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC"
1832,2385,COG1087,M,UDP-glucose 4-epimerase
1686,2037,COG1088,M,"dTDP-D-glucose 4,6-dehydratase"
926,1261,COG1089,M,GDP-D-mannose dehydratase
1030,1244,COG1090,R,NAD dependent epimerase/dehydratase family enzyme
1578,2117,COG1091,M,dTDP-4-dehydrorhamnose reductase
1279,1943,COG1092,J,23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI
2008,3387,COG1104,E,"Cysteine desulfurase/Cysteine sulfinate desulfinase IscS or related enzyme, NifS family"
873,1232,COG1105,G,1-phosphofructokinase or 6-phosphofructokinase II
386,542,COG1106,R,"ATPase/GTPase, AAA15 family"
1728,3121,COG1108,P,"ABC-type Mn2+/Zn2+ transport system, permease component"
2235,5304,COG1109,G,Phosphomannomutase
943,1431,COG1112,L,Superfamily I DNA and/or RNA helicase
489,1353,COG1113,E,L-asparagine transporter or related permease
472,660,COG1114,E,Branched-chain amino acid permease
1070,1940,COG1115,E,Na+/alanine symporter
1573,5440,COG1116,P,"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"
1848,2512,COG1117,P,"ABC-type phosphate transport system, ATPase component"
792,980,COG1118,P,"ABC-type sulfate/molybdate transport systems, ATPase component"
1754,4229,COG1120,H P,"ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component"
1702,2634,COG1121,P,"ABC-type Mn2+/Zn2+ transport system, ATPase component"
464,690,COG1124,E P,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component"
777,995,COG1125,E,"ABC-type proline/glycine betaine transport system, ATPase component"
1467,4710,COG1126,E,"ABC-type polar amino acid transport system, ATPase component"
1344,2000,COG1127,M,ATPase subunit MlaF of the ABC-type intermembrane phospholipid transporter Mla
1006,4574,COG1129,G,"ABC-type sugar transport system, ATPase component"
2184,16983,COG1131,J V,Ribosome-associated ATPase or ATPase component of an ABC-type multidrug transport system
2159,13012,COG1132,V,"ABC-type multidrug transport system, ATPase and permease component"
1277,1861,COG1134,G,"ABC-type polysaccharide/polyol phosphate transport system, ATPase component"
1037,1482,COG1135,E,"ABC-type methionine transport system, ATPase component"
2224,10649,COG1136,M,"ABC-type lipoprotein export system, ATPase component"
1352,1369,COG1137,M,"ABC-type lipopolysaccharide export system, ATPase component"
882,998,COG1138,O C,Cytochrome c biogenesis protein CcmF
1834,4813,COG1143,C,Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)
1097,1626,COG1146,F,"NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit"
1794,1913,COG1154,H I,Deoxyxylulose-5-phosphate synthase
1085,1294,COG1157,N U,"Flagellar biosynthesis/Type III secretion system ATPase FliI/YscN/InvC/EscN, SctN family"
1818,1930,COG1158,K,Transcription termination factor Rho
1972,2245,COG1159,J,"GTPase Era, involved in 16S rRNA processing"
2052,2604,COG1160,J,Double Era-like domain GTPase Der
1646,2004,COG1162,J,Ribosome biogenesis GTPase RsgA
676,690,COG1166,E,Arginine decarboxylase (spermidine biosynthesis)
1484,4772,COG1167,K E,"DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain"
1729,3274,COG1171,E,Threonine deaminase
967,5412,COG1172,G,"Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component"
1810,8376,COG1173,E P,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component"
809,1651,COG1174,E,"ABC-type proline/glycine betaine transport system, permease component"
1319,9617,COG1175,G,"ABC-type sugar transport system, permease component"
1117,2718,COG1176,E,"ABC-type spermidine/putrescine transport system, permease component I"
1160,3056,COG1177,E,"ABC-type spermidine/putrescine transport system, permease component II"
1233,2298,COG1178,P,"ABC-type Fe3+ transport system, permease component"
989,1152,COG1179,J,tRNA A37 threonylcarbamoyladenosine dehydratase
2035,3482,COG1181,M R,D-alanine-D-alanine ligase or related ATP-grasp enzyme
760,1059,COG1182,C,FMN-dependent NADH-azoreductase
1387,1722,COG1183,I,Phosphatidylserine synthase
2026,2036,COG1185,J,Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)
2052,3173,COG1186,J,Protein chain release factor PrfB
2016,4008,COG1187,J,"Pseudouridylate synthase RsuA/RluF, specific for 16S rRNA U516, 23S rRNA U2605, and tRNA(Tyr)-35"
1416,1418,COG1188,J,"Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain"
1779,1857,COG1190,J,"Lysyl-tRNA synthetase, class II"
1096,1806,COG1191,K,DNA-directed RNA polymerase specialized sigma subunit
2043,6215,COG1192,D N,ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ
1798,1836,COG1194,L,"Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs"
1696,1772,COG1195,L,Recombinational DNA repair ATPase RecF
2029,4908,COG1196,D,Chromosome segregation ATPase Smc
1975,2011,COG1197,K L,Transcription-repair coupling factor (superfamily II helicase)
2030,2052,COG1198,L,Primosomal protein N' (replication factor Y) - superfamily II helicase
1492,2038,COG1199,L,Rad3-related DNA helicase DinG
1910,1951,COG1200,L,RecG-like helicase
969,1265,COG1201,L,Lhr-like helicase
1996,2332,COG1207,M,"Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase"
1563,3090,COG1208,J M,"NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s"
1723,2427,COG1209,M,dTDP-glucose pyrophosphorylase
1508,1845,COG1210,M,UTP-glucose-1-phosphate uridylyltransferase
1766,1935,COG1211,I,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
1216,1279,COG1212,M,CMP-2-keto-3-deoxyoctulosonic acid synthetase
2049,2049,COG1214,J,tRNA A37 threonylcarbamoyladenosine modification protein TsaB
1916,6706,COG1215,N,"Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase"
1631,5950,COG1216,G,"Glycosyltransferase, GT2 family"
1933,1938,COG1217,T,Predicted membrane GTPase TypA/BipA involved in stress response
954,1076,COG1218,P,3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase
1983,2189,COG1219,O,"ATP-dependent protease Clp, ATPase subunit ClpX"
1201,1204,COG1220,O,"ATP-dependent protease HslVU (ClpYQ), ATPase subunit HslU"
1990,7435,COG1225,O,Peroxiredoxin
982,1553,COG1226,P,Voltage-gated potassium channel Kch
1320,3776,COG1228,Q,Imidazolonepropionase or related amidohydrolase
1365,2111,COG1230,P,Co/Zn/Cd efflux system component
611,990,COG1231,E,Monoamine oxidase
1491,2285,COG1234,J,"Ribonuclease BN, tRNA processing enzyme"
1579,2350,COG1235,P,"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase"
1079,1466,COG1236,J,"RNA processing exonuclease, beta-lactamase fold, Cft2 family"
873,1102,COG1238,S,"Uncharacterized membrane protein YqaA, VTT domain"
683,1048,COG1239,H,Mg-chelatase subunit ChlI
1245,2356,COG1240,H,vWFA (von Willebrand factor type A) domain of Mg and Co chelatases
1611,3257,COG1246,E,"N-acetylglutamate synthase or related acetyltransferase, GNAT family"
1507,3394,COG1247,E,L-amino acid N-acyltransferase MnaT
2146,7215,COG1249,C,Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase
1556,4678,COG1250,I,3-hydroxyacyl-CoA dehydrogenase
1368,2878,COG1251,C,"NAD(P)H-nitrite reductase, large subunit"
1626,3135,COG1252,C,"NADH dehydrogenase, FAD-containing subunit"
1961,4447,COG1253,T P,"Mg2+ efflux pump MpfA, contains CBS pair and CorC-HlyC domains, TlyC/UPF0053 family"
1064,1216,COG1256,N,Flagellar hook-associated protein FlgK
797,885,COG1261,N,Flagellar basal body P-ring formation protein FlgA
1206,3847,COG1262,O,"Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain"
995,1057,COG1267,I,Phosphatidylglycerophosphatase A
1168,1288,COG1270,H,Cobalamin biosynthesis protein CobD/CbiB
1407,1891,COG1271,C,"Cytochrome bd-type quinol oxidase, subunit 1"
1147,1238,COG1272,U,"Progestin and AdipoQ receptors (PAQRs) homolog, hemolysin III family"
581,721,COG1273,L,"Non-homologous end joining protein Ku, dsDNA break repair"
1871,5933,COG1278,K,"Cold shock protein, CspA family"
638,673,COG1279,E,Arginine exporter protein ArgO
1413,4861,COG1280,E,Threonine/homoserine/homoserine lactone efflux protein
1234,1245,COG1281,O,"Redox-regulated molecular chaperone, HSP33 family"
1015,1082,COG1282,C,NAD/NADP transhydrogenase beta subunit
905,1216,COG1283,P,Na+/phosphate symporter
849,1858,COG1284,S,"Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains"
1002,1291,COG1285,P,"Magnesium uptake protein YhiD/SapB, involved in acid resistance"
1160,1178,COG1286,M F,"Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation"
688,1378,COG1289,S,Uncharacterized membrane protein YccC
1245,1616,COG1290,C,Cytochrome b subunit of the bc complex
1068,1613,COG1291,N,Flagellar motor component MotA
837,1784,COG1292,M,Choline-glycine betaine transporter
1355,1746,COG1294,C,"Cytochrome bd-type quinol oxidase, subunit 2"
1759,2932,COG1295,S,"Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)"
1097,1401,COG1296,E,Predicted branched-chain amino acid permease (azaleucine resistance)
1066,1176,COG1298,N,Flagellar biosynthesis protein FlhA
519,862,COG1299,G,"Phosphotransferase system, fructose-specific IIC component"
1341,2490,COG1301,C,Na+/H+-dicarboxylate symporter
1328,2098,COG1304,C I R,"FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase"
1622,4378,COG1305,O,"Transglutaminase-like enzyme, putative cysteine protease"
2048,31532,COG1309,K,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA"
1430,1430,COG1314,U,Protein translocase subunit SecG
898,1024,COG1317,N U,"Flagellar biosynthesis/Type III secretion system stator protein FliH/YscL/OrgB/HrpE, SctL family"
813,1962,COG1319,C,"Aldehyde, CO, or xanthine dehydrogenase, FAD-binding subunit"
887,1102,COG1320,P,"Multisubunit Na+/H+ antiporter, MnhG subunit"
1381,1412,COG1322,L,DNA anti-recombination protein (rearrangement mutator) RmuC
1669,1710,COG1327,K,"Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains"
1020,1293,COG1328,F,Anaerobic ribonucleoside-triphosphate reductase
486,491,COG1330,L,Scaffold subunit RecC of the DNA repair enzyme RecBCD (exonuclease V)
521,544,COG1334,R,"Uncharacterized conserved protein, FlaG/YvyC family"
1776,4907,COG1335,H R,Nicotinamidase-related amidase
1068,1158,COG1338,N,Flagellar biosynthesis protein FliP
1062,3332,COG1344,N,Flagellin and related hook-associated protein FlgL
868,996,COG1345,N,Flagellar capping protein FliD
672,794,COG1346,M,Putative effector of murein hydrolase
1254,4012,COG1349,K G,"DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family"
1301,2870,COG1352,T,Methylase of chemotaxis methyl-accepting proteins
1703,1723,COG1354,L,"Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family"
1233,4617,COG1357,U,"Type IVB secretion/DNA transfer system protein DotG/IcmE, contains pentapeptide repeats"
1093,2148,COG1359,C,Quinol monooxygenase YgiN
1340,2676,COG1360,N,Flagellar motor protein MotB
546,667,COG1362,E,Aspartyl aminopeptidase
944,1662,COG1363,G E,Putative aminopeptidase FrvX
1423,1450,COG1364,E,Glutamate N-acetyltransferase (ornithine transacetylase)
821,2886,COG1366,T,"Anti-anti-sigma factor (antagonist of anti-sigma factor), STAS domain"
796,1329,COG1368,M,"Phosphoglycerol transferase MdoB/OpgB, AlkP superfamily"
1259,3525,COG1376,M,Lipoprotein-anchoring transpeptidase ErfK/SrfK
1096,1301,COG1377,N,Flagellar biosynthesis protein FlhB
663,775,COG1380,R,"Putative effector of murein hydrolase LrgA, UPF0299 family"
1948,1951,COG1381,L,Recombinational DNA repair protein RecO (RecF pathway)
1921,2059,COG1385,J,16S rRNA U1498 N3-methylase RsmE
1638,1752,COG1386,K,Chromosome segregation and condensation protein ScpB
1335,2778,COG1388,M,LysM repeat
1024,1039,COG1391,O,Glutamine synthetase adenylyltransferase
1424,2673,COG1393,P,"Arsenate reductase or related protein, glutaredoxin family"
1935,14929,COG1396,K,"Transcriptional regulator, contains XRE-family HTH domain"
633,985,COG1398,I,Fatty-acid desaturase
1660,1660,COG1399,J,"23S rRNA accumulation protein YceD (essential in plants, uncharacterized in bacteria)"
1268,2515,COG1403,V,5-methylcytosine-specific restriction endonuclease McrA
1432,5102,COG1404,O,"Serine protease, subtilisin family"
595,692,COG1407,R,Metallophosphoesterase superfamily enzyme
1509,3424,COG1409,T,"3',5'-cyclic AMP phosphodiesterase CpdA"
1549,1893,COG1410,E,"Methionine synthase I, cobalamin-binding domain"
817,3011,COG1413,R,HEAT repeat
1217,6204,COG1414,K,"DNA-binding transcriptional regulator, IclR family"
1291,2209,COG1418,J R,"HD superfamily phosphodieaserase, includes HD domain of RNase Y"
719,732,COG1419,N,Flagellar biosynthesis GTPase FlhF
1332,1598,COG1426,D,"Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains"
657,992,COG1429,H,"Cobalamin biosynthesis protein CobN, Mg-chelatase"
1216,1755,COG1432,R,"NYN domain, predicted PIN-related RNAse, tRNA/rRNA maturation"
1293,1987,COG1434,M,"Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family"
839,1020,COG1443,I,Isopentenyldiphosphate isomerase
508,841,COG1445,G,Phosphotransferase system fructose-specific component IIB
585,755,COG1448,E,Aspartate/aromatic aminotransferase
865,1812,COG1450,N U,"Type II/type III secretion systems/type IV pilus secretin GspD/PulD/PilQ/YscC/InvG/EscC/HrcC,GspD/ SctC family"
1393,1775,COG1451,R,"UTP pyrophosphatase, metal-dependent hydrolase family"
1339,1409,COG1452,M,"LPS assembly protein LptD/OstA, potential outer membrane flippase"
1443,3279,COG1454,C,"Alcohol dehydrogenase, class IV"
736,1194,COG1457,F,Purine-cytosine permease or related protein
1370,2780,COG1459,N U,Type II secretion system/type IV pilus membrane platform protein GspF/PulF/PilC
371,425,COG1462,W,Type VIII secretion (curli biogenesis) system outer membrane channel CsgG
1351,3170,COG1463,M,Periplasmic subunit MlaD of the ABC-type intermembrane phospholipid transporter Mla
887,1583,COG1464,P,"ABC-type metal ion transport system, periplasmic component/surface antigen"
2048,2079,COG1466,L,"DNA polymerase III, delta subunit"
657,698,COG1469,H,GTP cyclohydrolase FolE2
1716,4403,COG1472,G,Periplasmic beta-glucosidase and related glycosidases
1574,4269,COG1473,R,Metal-dependent amidase/aminoacylase/carboxypeptidase
308,987,COG1474,L,"Cdc6-related protein, AAA superfamily ATPase"
1989,4360,COG1475,D,"Chromosome segregation protein Spo0J, contains ParB-like CTPase domain"
1296,3280,COG1476,K,"DNA-binding transcriptional regulator, XRE-family HTH domain"
1342,1972,COG1477,O H,FAD:protein FMN transferase ApbE
1015,2499,COG1484,L,DNA replication protein DnaC
810,885,COG1485,D,"Cell division protein ZapE (Z ring-associated ATPase), AFG1 superfamily"
1635,1785,COG1488,H,Nicotinic acid phosphoribosyltransferase
769,783,COG1489,T G,"DNA-binding protein, stimulates sugar fermentation"
1545,1549,COG1490,J,D-aminoacyl-tRNA deacylase
1122,1197,COG1492,H,Cobyric acid synthase
894,1039,COG1495,O,Disulfide bond formation protein DsbB
1609,1642,COG1496,P,Copper oxidase (laccase) domain
1811,3879,COG1502,I,Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase
1645,6944,COG1506,E,Dipeptidyl aminopeptidase/acylaminoacyl peptidase
1360,1466,COG1508,K,"DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog"
1458,1884,COG1514,J,"RNA 2',3'-cyclic phosphodiesterase (2'-5' RNA ligase)"
856,975,COG1516,N U,Flagellin-specific chaperone FliS
1172,1291,COG1519,M,3-deoxy-D-manno-octulosonic-acid transferase
1229,3533,COG1520,M,"Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat"
1524,1597,COG1521,H,Pantothenate kinase type III
1782,9472,COG1522,K,"DNA-binding transcriptional regulator, Lrp family"
1048,1742,COG1523,G,Pullulanase/glycogen debranching enzyme
1057,1720,COG1524,T,"c-di-AMP phosphodiesterase AtaC or nucleotide pyrophosphatase, AlkP superfamily"
1067,1749,COG1525,L,"Endonuclease YncB, thermonuclease family"
1080,1230,COG1526,C,"Formate dehydrogenase assembly factor FdhD, a sulfurtransferase"
1087,3666,COG1529,C,"Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit"
1830,2467,COG1530,J,Ribonuclease G or E
1143,1470,COG1533,L,DNA thymine dimer repair photolyase
990,990,COG1534,J,RNA-binding protein YhbY
1068,1226,COG1536,N,Flagellar motor switch protein FliG
1449,10050,COG1538,M,Outer membrane protein TolC
1630,1794,COG1539,H,Dihydroneopterin aldolase
875,998,COG1540,E,5-oxoprolinase subunit A
1191,2514,COG1541,H,"Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family"
1947,2320,COG1544,J,Ribosome-associated translation inhibitor RaiA
1958,2159,COG1546,H,Nicotinamide mononucleotide (NMN) deamidase PncC
709,1034,COG1551,T,sRNA-binding carbon storage regulator CsrA
421,520,COG1553,J,"tRNA U34 sulfur transfer complex TusBCD TusD component, DsrE family"
1517,1825,COG1555,L,DNA uptake protein ComE or related DNA-binding protein
1067,1191,COG1558,N,Flagellar basal body rod protein FlgC
1837,1982,COG1559,M,"Endolytic transglycosylase MltG, terminates peptidoglycan polymerization"
1293,2059,COG1560,I,Palmitoleoyl-ACP: Kdo2-lipid-IV acyltransferase (lipid A biosynthesis)
1374,1380,COG1561,J,"Endoribonuclease YloC, YicC family"
1515,7857,COG1566,V,Multidrug resistance efflux pump EmrA
100,106,COG1568,Q,"Aminopropyltransferase BpsA, N(4)-bis(aminopropyl)spermidine biosynthesis"
1854,1885,COG1570,L,"Exonuclease VII, large subunit"
1104,2085,COG1574,R,Predicted amidohydrolase YtcJ
1503,1520,COG1576,J,23S rRNA pseudoU1915 N3-methylase RlmH
890,1096,COG1580,N,Flagellar basal body-associated protein FliL
1049,1086,COG1585,O,Membrane protein implicated in regulation of membrane protease activity
1910,2346,COG1587,H,Uroporphyrinogen-III synthase
1770,1771,COG1589,D,Cell division septal protein FtsQ
898,4195,COG1593,G,"TRAP-type C4-dicarboxylate transport system, large permease component"
1866,22302,COG1595,K,"DNA-directed RNA polymerase specialized sigma subunit, sigma24 family"
1124,2562,COG1596,M,"Periplasmic protein Wza involved in polysaccharide export, contains SLBB domain of the beta-grasp fold"
1444,2616,COG1597,I R,"Phosphatidylglycerol kinase, diacylglycerol kinase family"
1399,1909,COG1600,J,Epoxyqueuosine reductase QueG (queuosine biosynthesis)
1869,2437,COG1605,E,Chorismate mutase
1307,2033,COG1607,I,Acyl-CoA hydrolase
1414,13436,COG1609,K,"DNA-binding transcriptional regulator, LacI/PurR family"
1791,2885,COG1611,F,"Nucleotide monophosphate nucleosidase PpnN/YdgH, Lonely Guy (LOG) family"
1268,1347,COG1612,H,Heme A synthase
571,748,COG1613,P,"ABC-type sulfate transport system, periplasmic component"
960,1249,COG1619,M,Muramoyltetrapeptide carboxypeptidase LdcA (peptidoglycan recycling)
648,814,COG1620,C,L-lactate permease
1467,2515,COG1622,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 2"
985,9674,COG1629,P,"Outer membrane receptor protein, Fe transport"
922,4681,COG1638,G,"TRAP-type C4-dicarboxylate transport system, periplasmic component"
490,2085,COG1639,T,"HD-like signal output (HDOD) domain, no enzymatic activity"
1029,1175,COG1640,G,4-alpha-glucanotransferase
1105,1536,COG1643,J,HrpA-like RNA helicase
1317,1459,COG1648,H,Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)
1489,3376,COG1651,O,Protein thiol-disulfide isomerase DsbC
1088,1535,COG1652,P,"Cytoplasmic potassium-binding protein Kbp/XkdP/YgaU, contains LysM domain"
1408,10853,COG1653,G,"ABC-type glycerol-3-phosphate transport system, periplasmic component"
835,876,COG1654,K,Biotin operon repressor
1414,1427,COG1660,T,"RNase adaptor protein RapZ for GlmZ sRNA degradation, contains a P-loop ATPase domain"
1176,1179,COG1663,M,Tetraacyldisaccharide-1-P 4'-kinase (Lipid A 4'-kinase)
925,925,COG1666,T,"Cyclic di-GMP-binding protein YajQ, UPF0234 family"
1947,11347,COG1670,J O,"Protein N-acetyltransferase, RimJ/RimL family"
855,866,COG1671,S,"Uncharacterized conserved protein YaiI, UPF0178 family"
1962,3162,COG1674,D,DNA segregation ATPase FtsK/SpoIIIE or related protein
1054,1149,COG1677,N,Flagellar hook-basal body complex protein FliE
1151,1179,COG1678,K,"Putative transcriptional regulator, AlgH/UPF0301 family"
1533,7460,COG1680,V,"CubicO group peptidase, beta-lactamase class C family"
1306,2045,COG1682,G,ABC-type polysaccharide/teichoic acid/polyol phosphate export permease
607,745,COG1683,S,"Uncharacterized conserved protein YbbK, DUF523 family"
1071,1167,COG1684,N,Flagellar biosynthesis protein FliR
1445,3167,COG1686,M,D-alanyl-D-alanine carboxypeptidase
844,1020,COG1694,V,"NTP pyrophosphatase, house-cleaning of non-canonical NTPs"
1413,5042,COG1695,K,"DNA-binding transcriptional regulator, PadR family"
790,1273,COG1696,M,"D-alanyl-lipoteichoic acid acyltransferase DltB, MBOAT superfamily"
1842,1953,COG1702,T,"Phosphate starvation-inducible protein PhoH, predicted ATPase"
666,911,COG1705,M N,Flagellum-specific peptidoglycan hydrolase FlgJ
803,924,COG1706,N,Flagellar basal body P-ring protein FlgI
1075,1594,COG1714,S,"Uncharacterized membrane protein YckC, RDD family"
411,443,COG1718,T,Serine/threonine-protein kinase RIO1
698,881,COG1720,J,tRNA (Thr-GGU) A37 N6-methylase
1628,3909,COG1721,R,"Uncharacterized membrane-anchored protein with extracellular vWFA and Ig-like domains, component of a predicted archaeal secretion system"
1729,1737,COG1722,L,Exonuclease VII small subunit
1325,2505,COG1729,D,"Cell division protein CpoB, coordinates peptidoglycan biosynthesis and outer membrane constriction"
827,1108,COG1732,M,Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)
1490,4948,COG1733,K,"DNA-binding transcriptional regulator, HxlR family"
1588,2654,COG1734,K,RNA polymerase-binding transcription factor DksA
1003,3100,COG1737,K,"DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains"
1310,1313,COG1739,R,"Putative translation regulator, IMPACT (imprinted ancient) protein family"
1380,2715,COG1741,R,"Redox-sensitive bicupin YhaK, pirin superfamily"
955,1242,COG1748,E,"Saccharopine dehydrogenase, NADP-dependent"
947,1151,COG1749,N,Flagellar hook protein FlgE
1478,3417,COG1752,R,"Predicted acylesterase/phospholipase RssA, containd patatin domain"
1798,1809,COG1758,K,"DNA-directed RNA polymerase, subunit K/omega"
1301,1879,COG1760,E,L-serine deaminase
1291,3161,COG1762,T G,Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)
1047,1916,COG1764,V,Organic hydroperoxide reductase OsmC/OhrA
1387,2403,COG1765,R,Uncharacterized OsmC-related protein
1063,1164,COG1766,N U,Flagellar biosynthesis/type III secretion system M-ring protein FliF/YscJ
673,763,COG1770,E,Protease II
977,1498,COG1773,P,Flavorubredoxin
957,1046,COG1778,M R,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC and related HAD superfamily phosphatases
1009,1572,COG1788,I,"Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit"
